시설명,카테고리,시도 명칭,위도,경도,전화번호,홈페이지,휴무일,운영시간,장애인용 출입문,장애인 화장실 유무,장애인 전용 주차장 여부,시각장애인 안내견 동반 가능 여부,점자 가이드 여부
001스테이지,전시/공연,서울특별시,37.58153269,127.002336,02-744-0015,www.00ground.kr/space/reservation,매주 일요일,10:00-19:00,Y,Y,N,Y,Y
05스튜디오,전시/공연,경기도,37.78641343,126.698359,,정보없음,정보없음,정보없음,N,N,N,N,N
072골프훈련소,레저/체육/공원,경기도,37.39403098,126.976543,,정보없음,정보없음,매일 06:00-23:30,N,N,N,N,N
1004섬수석미술관,전시/공연,전라남도,34.8800925,125.996874,061-240-3223,tour.shinan.go.kr/home/tour/theme_tour/theme_tour_17/theme_tour_17_02,매주 월요일,10:00-17:00,N,N,N,N,N
123GC,레저/체육/공원,경기도,37.64140522,126.903049,02-359-0123,www.123golfclub.co.kr/,"매주 월요일, 공휴일","월별 라운딩 TEE-OFF 시간은 홈페이지 참조 골프연습장 05:00-19:00 일몰시간에 따라 변동 가능, 1시간 전 티켓팅 마감",N,N,N,N,N
148아트스퀘어,전시/공연,경상북도,36.80700113,128.616142,054-630-8712,www.yctf.or.kr/bbs/board.php?bo_table=m203,"매주 월요일, 공휴일",09:00-18:00,Y,Y,Y,N,Y
153가족캠프,문화관광/명소,경기도,37.42870998,126.991199,,정보없음,정보없음,정보없음,N,N,N,N,N
168아트스퀘어,전시/공연,충청북도,36.97189318,127.933612,0507-1383-5009,168artsquare.com,정보없음,매일 00:00-24:00 개관일정별도공지,N,N,N,N,N
1987박종철기념관,전시/공연,서울특별시,37.46938355,126.938152,,정보없음,정보없음,정보없음,N,N,N,N,N
1박2일 녹수다리 유원지,문화관광/명소,경기도,37.76365653,127.392225,,정보없음,정보없음,정보없음,N,N,N,Y,N
1MSPACE,전시/공연,서울특별시,37.55760078,126.938198,,theaterplot.oopy.io/,정보없음,정보없음,N,N,N,Y,N
2.28민주운동기념회관,전시/공연,대구광역시,35.85840431,128.590354,053-257-2280,library.daegu.go.kr/228lib/index.do,매주 월요일,"화-금 09:00-19:00, 주말 09:00-17:00",N,Y,Y,N,N
